IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.12.48,,,,,1
192.168.12.49,,,,,1
192.168.12.50,,,,,1
192.168.12.51,,,,,1
192.168.12.52,,,,,1
192.168.12.53,,,,,1
192.168.12.54,,,,,1
192.168.12.55,,,,,1
192.168.12.56,,,,,1
192.168.12.57,,,,,1
192.168.12.58,,,,,1
192.168.12.59,,,,,1
192.168.12.60,,,,,1
192.168.12.61,,,,,1
192.168.12.62,,,,,1
192.168.12.63,,,,,1
192.168.12.64,,,,,1
192.168.12.65,,,,,1
192.168.12.66,,,,,1
192.168.12.67,,,,,1
192.168.12.68,,,,,1
192.168.12.69,,,,,1
192.168.12.70,,,,,1
192.168.12.71,,,,,1
192.168.12.72,,,,,1
192.168.12.73,,,,,1
192.168.12.74,,,,,1
192.168.12.75,,,,,1
192.168.12.76,,,,,1
192.168.12.77,,,,,1
192.168.12.78,,,,,1
192.168.12.79,,,,,1
192.168.12.80,,,,,1
192.168.12.81,,,,,1
192.168.11.101,,,,,1
192.168.11.102,,,,,1
192.168.11.103,,,,,1
192.168.11.104,,,,,1
192.168.11.105,,,,,1
192.168.11.106,,,,,1
192.168.11.107,,,,,1
192.168.11.108,,,,,1
192.168.11.109,,,,,1
192.168.11.110,,,,,1
192.168.11.111,,,,,1
192.168.11.112,,,,,1
192.168.11.113,,,,,1
192.168.11.114,,,,,1
192.168.11.115,,,,,1
192.168.11.116,,,,,1
192.168.11.117,,,,,1
192.168.11.118,,,,,1
192.168.11.119,,,,,1
192.168.11.120,,,,,1
192.168.11.121,,,,,1
192.168.11.122,,,,,1
192.168.11.123,,,,,1
192.168.11.124,,,,,1
192.168.11.125,,,,,1
192.168.11.126,,,,,1
192.168.11.127,,,,,1
192.168.11.128,,,,,1
192.168.11.129,,,,,1
192.168.11.130,,,,,1
192.168.11.131,,,,,1
192.168.11.132,,,,,1
192.168.11.133,,,,,1
192.168.11.134,,,,,1
192.168.11.135,,,,,1
192.168.11.136,,,,,1
192.168.11.137,,,,,1
192.168.11.138,,,,,1
192.168.11.139,,,,,1
192.168.11.140,,,,,1
192.168.11.141,,,,,1
192.168.11.142,,,,,1
192.168.11.143,,,,,1
192.168.11.144,,,,,1
192.168.11.145,,,,,1
192.168.11.146,,,,,1
192.168.11.147,,,,,1
192.168.11.148,,,,,1
192.168.11.149,,,,,1
192.168.11.150,,,,,1
192.168.11.151,,,,,1
