IP,CusMinerType,CusPower,CusHashrate,CusHashFreqRate,Enable
192.168.16.50,M21,,,,1
192.168.16.51,M21,,,,1
192.168.16.52,M21,,,,1
192.168.16.53,M21,,,,1
192.168.16.54,M21,,,,1
192.168.16.55,M21,,,,1
192.168.16.56,M21,,,,1
192.168.16.57,M21,,,,1
192.168.16.58,M21,,,,1
192.168.16.59,M21,,,,1
192.168.16.60,M21,,,,1
192.168.16.61,M21,,,,1
192.168.16.62,M21,,,,1
192.168.16.63,M21,,,,1
192.168.16.64,M21,,,,1
192.168.16.65,M21,,,,1
192.168.16.66,M21,,,,1
192.168.16.67,M21,,,,1
192.168.16.68,M21,,,,1
192.168.16.69,M21,,,,1
192.168.16.70,M21,,,,1
192.168.16.71,M21,,,,1
192.168.16.72,M21,,,,1
192.168.16.73,M21,,,,1
192.168.16.74,M21,,,,1
192.168.16.75,M21,,,,1
192.168.16.76,M21,,,,1
192.168.16.77,M21,,,,1
192.168.16.78,M21,,,,1
192.168.16.79,M21,,,,1
192.168.16.80,M21,,,,1
192.168.16.81,M21,,,,1
192.168.16.82,M21,,,,1
192.168.16.83,M21,,,,1
192.168.16.84,M21,,,,1
192.168.16.85,M21,,,,1
192.168.16.86,M21,,,,1
192.168.16.87,M21,,,,1
192.168.16.88,M21,,,,1
192.168.16.89,M21,,,,1
192.168.16.90,M21,,,,1
192.168.16.91,M21,,,,1
192.168.16.92,M21,,,,1
192.168.16.93,M21,,,,1
192.168.16.94,M21,,,,1
192.168.16.95,M21,,,,1
192.168.16.96,M21,,,,1
192.168.16.97,M21,,,,1
192.168.16.98,M21,,,,1
192.168.16.99,M21,,,,1
192.168.16.100,M21,,,,1
192.168.16.101,M21,,,,1
192.168.17.2,M21,,,,1
192.168.17.3,M21,,,,1
192.168.17.4,M21,,,,1
192.168.17.5,M21,,,,1
192.168.17.6,M21,,,,1
192.168.17.7,M21,,,,1
192.168.17.8,M21,,,,1
192.168.17.9,M21,,,,1
192.168.17.10,M21,,,,1
192.168.17.11,M21,,,,1
192.168.17.12,M21,,,,1
192.168.17.13,M21,,,,1
192.168.17.14,M21,,,,1
192.168.17.15,M21,,,,1
192.168.17.16,M21,,,,1
192.168.17.17,M21,,,,1
192.168.17.18,M21,,,,1
192.168.17.19,M21,,,,1
192.168.17.20,M21,,,,1
192.168.17.21,M21,,,,1
192.168.17.22,M21,,,,1
192.168.17.23,M21,,,,1
192.168.17.24,M21,,,,1
192.168.17.25,M21,,,,1
192.168.17.26,M21,,,,1
192.168.17.27,M21,,,,1
192.168.17.28,M21,,,,1
192.168.17.29,M21,,,,1
192.168.17.30,M21,,,,1
192.168.17.31,M21,,,,1
192.168.17.32,M21,,,,1
192.168.17.33,M21,,,,1
192.168.17.34,M21,,,,1
192.168.17.35,M21,,,,1
192.168.17.36,M21,,,,1
192.168.17.37,M21,,,,1
192.168.17.38,M21,,,,1
192.168.17.39,M21,,,,1
192.168.17.40,M21,,,,1
192.168.17.41,M21,,,,1
192.168.17.42,M21,,,,1
192.168.17.43,M21,,,,1
192.168.17.44,M21,,,,1
192.168.17.45,M21,,,,1
192.168.17.46,M21,,,,1
192.168.17.47,M21,,,,1
192.168.17.48,M21,,,,1
192.168.17.49,M21,,,,1
192.168.17.50,M21,,,,1
192.168.17.51,M21,,,,1
192.168.17.52,M21,,,,1
192.168.17.53,M21,,,,1
192.168.17.54,M21,,,,1
192.168.17.55,M21,,,,1
192.168.17.56,M21,,,,1
192.168.17.57,M21,,,,1
192.168.17.58,M21,,,,1
192.168.17.59,M21,,,,1
192.168.17.60,M21,,,,1
192.168.17.61,M21,,,,1
192.168.17.62,M21,,,,1
192.168.17.63,M21,,,,1
192.168.17.64,M21,,,,1
192.168.17.65,M21,,,,1
192.168.17.66,M21,,,,1
192.168.17.67,M21,,,,1
